stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
21836,21836,MOCKINGBIRD @ OAKBROOK - E - MB,,32.822158,-96.860794,,,1
21837,21837,HARRY HINES @ LOFLAND - S - MB,,32.812438,-96.838295,,,1
21838,21838,OAK LAWN @ GILBERT - N - NS,,32.814071,-96.802858,,,1
21839,21839,HASKELL @ STATE - S - NS,,32.804943,-96.790154,,,1
21840,21840,HASKELL @ CAPITOL - N - NS,,32.804886,-96.78955,,,1
21841,21841,LEMMON @ HASKELL - S - NS,,32.803859,-96.787819,,,1
21842,21842,MLK @ J B JACKSON - S - FS,,32.773784,-96.763237,,,1
21843,21843,PENNSYLVANIA @ JEFFRIES - S - NS,,32.768852,-96.765389,,,1
21846,21846,COLWELL @ ROYAL - N - MB1,,32.892456,-96.942596,,,1
21847,21847,COLWELL @ CREATIVE - S - MB2,,32.892169,-96.942544,,,0
21848,21848,COLWELL @ CREATIVE - S - MB1,,32.893303,-96.944355,,,1
21851,21851,VALLEY VIEW @ KEENAN BRIDGE - E - FS,,32.920392,-96.919208,,,0
21852,21852,VALLEY VIEW @ KEENAN BRIDGE - W - NS,,32.920617,-96.919363,,,1
21853,21853,HUTTON @ CHAMPION CIR - N - NS,,32.932981,-96.914846,,,0
21854,21854,HUTTON @ CHAMPION CIR - S - NS,,32.93669,-96.915304,,,0
21869,21869,BELT LINE @ MARSH - W - FS,,32.9533,-96.856804,,,0
21871,21871,BELT LINE @ HILLCREST - E - NS,,32.94989,-96.784993,,,1
21872,21872,BELT LINE @ SPRING CREEK - W - FS,,32.95079,-96.771957,,,0
21873,21873,BELT LINE @ SPRING CREEK - E - FS,,32.950598,-96.770735,,,0
21874,21874,BELT LINE @ BROOKWOOD - E - FS,,32.951082,-96.764526,,,0
21877,21877,BELT LINE @ WAKE - E - FS,,32.947464,-96.711768,,,0
21878,21878,BELT LINE @ WAKE - W - MB,,32.946621,-96.710434,,,0
21879,21879,BELT LINE @ TRELLIS - W - NS,,32.945398,-96.685623,,,1
21880,21880,BELT LINE @ SHILOH - E - MB,,32.944573,-96.667794,,,0
21881,21881,BELT LINE @ KEY WEST - W - NS,,32.945189,-96.663186,,,0
21882,21882,BELT LINE @ WAGON WHEEL - W - MB,,32.945256,-96.651475,,,1
21883,21883,BELT LINE @ GARLAND - E - MB,,32.944987,-96.651158,,,0
21893,21893,ST PAUL @ ERVAY - S - MB,,32.772998,-96.790101,,,0
21894,21894,HARRY HINES @ REAGAN - S - NS,,32.803068,-96.819523,,,0
21895,21895,HARRY HINES @ SHORECREST - S - NS,,32.841424,-96.870625,,,0
21896,21896,WEBB CHAPEL EXT @ CRIDELLE - S - NS,,32.860958,-96.865949,,,1
21897,21897,WEBB CHAPEL @ CHAPEL CREEK - N - MB,,32.86951,-96.864602,,,1
21898,21898,WEBB CHAPEL @ LOMBARDY - S - MB,,32.86837,-96.864815,,,1
21903,21903,FOREST @ HIGHDALE - W - MB1,,32.909727,-96.858844,,,0
21904,21904,RECORD CROSSING @ LEE HALL - W - NS,,32.817634,-96.847641,,,0
21905,21905,RECORD CROSSING @ RIVERSIDE - W - NS,,32.817436,-96.855828,,,0
21906,21906,KING GEORGE @ VICEROY - S - MB,,32.834751,-96.871567,,,0
21907,21907,MUNGER @ JOHNSON - S - NS,,32.798272,-96.789276,,,0
21908,21908,HALL @ FLORA - S - MB,,32.796733,-96.790711,,,0
21910,21910,LEMMON @ KNIGHT - N - NS,,32.814853,-96.808831,,,1
21911,21911,LEMMON @ THEDFORD - S - MB2,,32.84127,-96.834762,,,0
21912,21912,LEMMON @ THEDFORD - S - MB1,,32.843413,-96.834742,,,0
21913,21913,LEMMON @ UNIVERSITY - N - NS,,32.844587,-96.834582,,,0
21914,21914,LEMMON @ LOVERS - N - NS,,32.850643,-96.841027,,,0
21915,21915,LEMMON @ LOVERS - S - MB,,32.85189,-96.842797,,,0
21916,21916,LEMMON @ BLUFFVIEW - S - MB,,32.849445,-96.839981,,,1
21917,21917,LEMMON @ CRESTHAVEN - N - MB,,32.851887,-96.842401,,,0
21918,21918,LEMMON @ SHORECREST - N - NS,,32.858726,-96.850411,,,0
21919,21919,MARSH @ LA JOYA - S - NS,,32.872245,-96.856255,,,1
21922,21922,CEDAR SPRINGS @ MAHANNA - N - MB,,32.819759,-96.821465,,,1
21923,21923,CEDAR SPRINGS @ KINGS - S - MB,,32.819287,-96.821097,,,0
21925,21925,CEDAR SPRINGS @ MANOR - N - MB1,,32.82741,-96.833006,,,1
21926,21926,CEDAR SPRINGS @ MANOR - N - MB2,,32.828854,-96.834736,,,0
